Rafael Silva	L
Alan Yoshihiro Yamaniha	W
Toshinori Tsunemura	W
Victor Henry	W
Hidekazu Fukushima	W
Rafael Silva	L
Jun Doi	W
Jose Alday	W
Kosuke Terashima	W
Luis Nogueira	W
Victor Henry	L
Bibiano Fernandes	L
Kevin Belingon	W
Jens Pulver	W
Min Jong Song	W
Travis Marx	L
Kyoji Horiguchi	W
Royler Gracie	W
Rumina Sato	W
Ralph Acosta	W
Akitoshi Tamura	W
Shuichiro Katsumura	L
Eduardo Dantas	W
So Tazawa	W
Marcos Galvao	D
Koetsu Okazaki	W
Atsushi Yamamoto	W
Tetsu Suzuki	W
Takeya Mizugaki	D
So Tazawa	W
Teruyuki Matsumoto	W
Naoki Yahagi	W
Nobuhiro Hayakawa	W
Satoshi Yamashita	W
