Charles Cheeks	W
Tim Dooling	W
Steven Peterson	L
Enrique Barzola	L
Kurt Holobaugh	D
Rey Trujillo	W
Kevin Croom	W
Joe Pingitore	W
Ran Weathers	W
Keith Richards	W
Taurean Bogguess	W
Kevin Roddy	W
Lenny Wheeler	L
Khama Worthy	W
Josh LaBerge	W
Scott Cleve	L
Daniel Weichel	L
Diego Nunes	W
Nick Piedmont	W
Jeff Anderson	W
Paul Barrow	W
Aniss Alhajjajy	W
Andres Jeudi	L
Saul Almeida	W
Joe Proctor	L
John Benoit	W
Anthony Kaponis	W
Andrew Amaral	W
Andrew Carron	W
Chris Chappell	L
Jeff Camera	W
Andres Lebron	W
Bill Jones	L
Chris Correira	W
