Mamed Khalidov	L
Robbie Lawler	L
Kevin Casey	W
Jacare Souza	L
Vitor Belfort	L
Fabio Nascimento	W
Fedor Emelianenko	L
Carlos Newton	W
Jeremy Horn	W
Quinton Jackson	L
Mike Van Arsdale	W
Fabio Leopoldo	W
Antonio Schembri	W
Joe Doerksen	W
Travis Lutter	W
Landon Showalter	W
Mark Weir	W
David Terrell	L
Tony Fryklund	W
Falaniko Vitale	W
Falaniko Vitale	L
Phil Baroni	W
Ivan Salaverry	W
Murilo Bustamante	L
Pat Miletich	W
Phil Baroni	W
Ricardo Almeida	W
Yoji Anjo	W
Travis Fulton	W
Mark Waters	W
Karo Davtyan	W
