Rogerio Nogueira	W
Paul Craig	D
Tyson Pedro	W
Anthony Smith	L
Gian Villante	W
Corey Anderson	W
Rogerio Nogueira	W
Ovince Saint Preux	L
Dan Henderson	L
James Te Huna	W
Chael Sonnen	L
Alexander Gustafsson	L
Brandon Vera	W
Dan Henderson	L
Forrest Griffin	W
Jon Jones	L
Lyoto Machida	W
Lyoto Machida	L
Chuck Liddell	W
Mark Coleman	W
Forrest Griffin	L
Alistair Overeem	W
Kazuhiro Nakamura	W
Kevin Randleman	W
Cyrille Diabate	W
Mark Coleman	L
Ricardo Arona	W
Alistair Overeem	W
Rogerio Nogueira	W
Quinton Jackson	W
Hiromitsu Kanehara	W
Yasuhito Namekawa	W
Akihiro Gono	W
Akira Shoji	W
Renato Sobral	L
Erick Wanderlei	W
Evangelista Santos	W
Angelo Antonio	W
Rafael Freitas	W
