Roman Avdal	W
Athinodoros Michailidis	W
Damien Lapilus	D
Lance Palmer	L
Marcos Galvao	W
Timur Valiev	L
Rafael Barbosa	W
Daniel Requeijo	W
Nilson Pereira	W
Edgars Skrivers	W
Joey Kuiten	W
Paata Robakidze	W
Hyram Rodriguez	W
Benjamin Brander	W
Magomed Idrisov	L
Pavel Vitruk	W
Gabriel Sabo	W
Maxim Divnich	L
Niklas Backstrom	L
Lom-Ali Eskijew	W
Antun Racic	W
Duane van Helvoirt	W
Hendrick Bershka	W
Lom-Ali Eskijew	W
Cazim Halimi	W
Turpal-Ali Sadulajev	W
Jean-Marc Howell	L
Marian Ziolkowski	W
Kristian Hansen	W
