Piotr Strus	L
Albert Duraev	L
Jesse Taylor	L
Dennis Hallman	W
Xavier Foupa-Pokam	W
Charles Andrade	W
Robert Sarkozi	W
Jaime Jara	W
Douglas Lima	L
Lyman Good	L
Tim Welch	W
Kyacey Uscola	W
Rasul Magamedov	W
Deyan Topalski	W
Abdulsupyan Alikhanov	W
Shamil Abdulkhalikov	W
Shamil Abdulkhalikov	W
Bagautdin Sharaputdinov	W
Omari Akhmedov	W
Magomed Eldiev	W
Sergey Naumov	W
Gustavo Picone	L
Gadji Zaipulaev	L
Pavel Semenov	W
Maxim Motodoev	W
Pavel Kuchumov	W
Karen Avetisyan	W
Edgar Kolyan	W
Kardash Fatakhov	W
Denis Evseev	W
Vladimir Startsev	W
Yuri Folomkin	W
Alexey Pavlov	W
Igor Bayer	W
Gennady Karnaukhov	W
