Scott Askham	L
Damian Janikowski	W
Martin Zawada	W
Scott Askham	L
Paulo Thiago	W
Rousimar Palhares	W
Antoni Chmielewski	W
Mamed Khalidov	L
Tomasz Drwal	W
Jorge Luis Bezerra	W
Jay Silva	W
Jay Silva	L
Kendall Grove	W
Rodney Wallace	W
Jay Silva	W
Matt Horwich	W
James Zikic	W
Gregory Babene	W
Bohumil Lungrik	W
Antonio Mendes	L
Jan Antoska	W
Krzysztof Kulak	W
Valdas Pocevicius	W
Evert Fyeet	W
Moise Rimbon	L
Evangelista Santos	L
Andrzej Kulik	W
Wojciech Golaszewski	W
Miika Mehmet	W
Giedrius Pranckevicius	W
Chritstoph Meyer	W
Jaroslaw Stachera	W
Andrzej Kulik	W
Tomasz Janiszewski	W
