Zelim Imadaev	W
Diego Sanchez	L
Tristan Connelly	L
Danny Roberts	W
Dae Sung Kim	W
Won Jun Choi	W
Dusko Todorovic	L
Burenzorig Batmunkh	D
Hae Jun Yang	W
Sung Hyun Kim	W
Carlos Alexandre Pereira	D
Laerte Costa e Silva	W
Luka Strezoski	W
Kurbanjiang Tuluosibake	L
Renato Gomes Gabriel	W
Cristiano Estela	W
Ismael de Jesus	L
Stanley Barbosa de Melo	W
Abubakar Vagaev	L
Carlston Lindsay Harris	L
Cairo Rocha	W
Geraldo Coelho de Lima Neto	W
Caio Robson Silva	W
Zozimar de Oliveira Silva Jr.	L
Alfredo Souza	W
Silmar Nunes	W
Jaime Cordoba	W
Daziel Serafim da Silva Jr.	W
Renato Puente Flores	W
Reginaldo Ferreira Alves	W
Franciney dos Santos Bessa	W
Rubenilton Pereira	L
Rubenilton Pereira	L
Bruno Leandro Soares Lobato	L
Sivaldo Alves da Silva	W
Magno Silva	W
Edson Dias	W
