Ismail Naurdiev	L
Bartosz Fabinski	W
Zak Cummings	W
Desmond Green	W
Mads Burnell	W
Joshua Burkman	W
Gilbert Burns	W
JC Cottrell	W
Valmir Lazaro	W
Kevin Lee	L
Mairbek Taisumov	W
Jesse Ronson	W
Paulo Thiago	L
Leandro Silva	W
Sergio Leal	W
Andre Lobato	W
Antonio Carlos Ribeiro	W
Frederick Samurai	W
Valter Roberto de Menezes	W
Gabriel Santos	W
Anderson Silva	W
Edilson Florencio	W
Jose de Arimateia Mesquita dos Santos	W
Luis Neto	W
Elias Monteiro	W
Cleber Santana	W
Rogerio de Souza Gama	W
Sergio Araujo de Oliveira	W
Sandro Lyon	W
