Roberto de Souza	L
Christos Giagos	L
Ross Pearson	L
Alexander Volkanovski	L
Cole Miller	W
Teruto Ishihara	D
Kyu Hwa Kim	W
Masakazu Imanari	W
Daisuke Nakamura	W
Rodrigo Damm	L
Rani Yahya	L
Pat Healy	L
Seichi Ikemoto	W
Katsunori Kikuno	W
Shinya Aoki	L
Satoru Kitaoka	W
Mitsuhiro Ishida	W
Katsuya Inoue	D
Kazunori Yokota	L
Ryan Schultz	W
Tomonari Kanomata	W
Johnny Frachey	W
Do Gi Sin	W
Ganjo Tentsuku	L
Takashi Nakakura	L
Jin Kazeta	W
Danilo Cherman	W
Kabuto Kokage	W
Yoshihiro Koyama	W
Komei Okada	W
Masaaki Yamamori	W
