Soo Chul Kim	L
Yuta Nezu	L
Taichi Nakajima	W
Vaughan Lee	L
Alex Caceres	L
Shunichi Shimizu	W
Tatsuya So	W
Nobuhiro Yoshitake	W
Shintaro Ishiwatari	L
Hiroshi Tomita	W
Takumi Murata	W
Yuki Uejima	W
Yuta Numakura	W
Nobuhiro Yoshitake	W
Yudai Aoyama	W
Yoshiyuki Ishikawa	W
Koji Nakamura	W
Shinya Kumazawa	W
Yasuhiro Kanayama	D
Yohei Tagami	W
Kenji Takeshige	D
Yasutomo Tanaka	L
Taku Aramaki	W
Taiyo Nakahara	L
Tetsuo Uehata	W
Shota Watanabe	W
Yuki Uejima	D
Soyu Tanabe	L
Makoto Kamaya	W
Akira Shimazu	W
Takuro Nishimura	D
