Paulo Filho	L
Tom Watson	L
Roy Boughton	L
Jeremy May	W
Arturo Arcemendes	W
Jason Jones	W
Alex Stiebling	W
Riki Fukuda	L
Benji Radach	L
Tony Bonello	W
Xavier Foupa-Pokam	W
Robbie Lawler	L
Joey Villasenor	W
Alex Reid	W
Mark Weir	W
Denis Kang	L
Paulo Filho	L
Murad Chunkaiev	W
Quinton Jackson	L
Sergei Kharitonov	L
Alexander Otsuka	W
Akira Shoji	W
Kevin Randleman	L
Ricardo Arona	L
Mario Sperry	W
Alex Andrade	W
Dan Henderson	L
Daijiro Matsui	W
Rogerio Sagate	W
Akihiro Gono	D
Leopoldo Serao	W
Luiz Claudio das Dores	W
Israel Albuquerque	W
Adriano Verdelli	W
