Yuki Kawana	L
Kajan Johnson	L
Yan Cabral	L
Norman Parke	L
Yoshihiro Koyama	W
Daisuke Hoshino	W
Vitali Krat	W
Jung Min Kang	W
Koji Mori	W
Shinichi Taira	W
Darius Minkevicius	W
Ryuki Ueyama	W
Daisuke Hanazawa	W
Katsuya Inoue	W
Ryo Asami	W
Keigo Hirayama	W
Eriya Matsuda	W
Jorge Masvidal	L
Kenichi Ito	D
Daisuke Nakamura	W
Yojiro Uchimura	W
Kuniyoshi Hironaka	L
Katsuhiko Nagata	W
Koji Oishi	L
Masanori Kanehara	D
Dennis Siver	L
Thiago Tavares	L
Masayuki Okude	W
Erikas Petraitis	D
Shinya Sato	W
Darius Skliaudys	D
Vito Woods	W
Luiz Azeredo	L
Luiz Azeredo	L
Darius Skliaudys	D
Roger Huerta	L
Yves Edwards	L
Hideo Tokoro	W
Remigijus Morkevicius	W
Mindaugas Smirnovas	W
Mindaugas Smirnovas	W
Mindaugas Smirnovas	D
Antoine Skinner	W
Mindaugas Laurinaitis	W
Kenichi Serizawa	W
Masaya Takita	W
Yoshinobu Ota	W
Takahito Iida	W
Hideo Tokoro	W
Jiro Wakabayashi	D
Curtis Brigham	W
Tashiro Nishiuchi	W
Kiyohito Sugata	W
