Jorge Masvidal	L
Anthony Pettis	W
Conor McGregor	L
Conor McGregor	W
Michael Johnson	W
Rafael Dos Anjos	L
Gray Maynard	W
Josh Thomson	L
Benson Henderson	L
Jim Miller	W
Donald Cerrone	W
Takanori Gomi	W
Rory MacDonald	L
Dong Hyun Kim	L
Marcus Davis	W
Rory Markham	W
Gray Maynard	L
Melvin Guillard	W
Joe Stevenson	L
Clay Guida	L
Josh Neer	W
Kurt Pellegrino	W
Alvin Robinson	W
Junior Assuncao	W
Manvel Gamburyan	W
Gray Maynard	W
Hermes Franca	L
Dennis Davis	W
Joe Hurley	W
Gilbert Rael	W
Tony Juarez	W
Koji Oishi	L
Alejandro Garcia	W
