Steven Siler	D
Andre Harrison	L
Marcos Galvao	W
Issei Tamura	W
Jose Carlos Soares	W
Guy Delumeau	W
Hiroyuki Takaya	W
Iramar Frota	W
Joaquim Silva	L
Derinaldo Guerra da Silva	W
Vitor Pastoriza	W
Andre Luis de Souza	W
Jose Ivanildo Lopes Sousa	W
Moises Monteiro	W
Marcelo Marcelo	W
Rad Martinez	L
Thiago Sinistro	W
Jonas Lis	W
Marlon Sandro	L
Jacob Devree	W
Daniel Straus	L
Nelson Velasques	W
Antonuce Conceicao	W
Ricardo Urbano	W
Daniel Morales	W
Erick Carlos Silva	W
Erickson Lima	W
Luciano Oliveira	W
Alessandro Cordeiro	W
Julio Rafael Rodrigues	W
Rosenildo Rocha	W
Diego Marlon	W
Jairon Oliveira	W
Tarcisio Imegiato	W
Jonas Ribeiro	W
