Jared Rosholt	L
Dale Sopi	W
Satoshi Ishii	L
Ryan Martinez	W
Raphael Butler	D
Marcin Rozalski	L
Drew Ellisor	W
Cody East	L
Lucas Taber	W
Tony Lopez	W
Ray Lopez	W
Tony Lopez	L
Lorenz Larkin	L
Hank Weiss	W
John Kafer	W
Jason Guida	W
Jordan Smith	L
John Ethridge	W
Jarome Hatch	W
Brandon Ploehn	W
Ben Fuimaono	W
Keith Johnson	L
William Brewer	W
Eugene Parker	W
Isidro Gonzalez	L
Chris Camozzi	W
Manny Hernandez	W
Jeremy Brown	L
Jorge Lopez	W
Court McGee	L
Jarrett Kelton	L
Hank Weiss	L
Iisaisa Tuiaki	L
Tim Panter	L
William Brewer	W
Justin Sessions	W
John Ethridge	W
Michael Ashbridge	W
Ma'afu Fosita	L
Harold Lucambio	L
Thomas Gasu	W
Marc Balcer	W
Hank Weiss	L
Ma'afu Fosita	L
Josh Handricks	W
Andrew Jennings	W
Nathaniel Veldhouse	L
