Johnny Walker	W
Glover Teixeira	L
Ovince Saint Preux	W
Jan Blachowicz	L
Fabio Maldonado	W
Emanuel Newton	W
Maro Perak	W
Stjepan Bekavac	W
Misha Cirkunov	L
Ed Herman	W
Francimar Barroso	W
Marcos Rogerio de Lima	W
Stanislav Nedkov	W
Cody Donovan	W
Ovince Saint Preux	L
Walt Harris	W
Soa Palelei	L
Gabriel Tampu	W
Vladimir Mishchenko	L
Kilichbek Sarkarboev	W
Julian Bogdanov	W
Vladimir Mishchenko	L
Denis Simkin	W
Valery Scherbakov	W
Vladimir Gerasimchik	W
Igor Kukurudziak	W
Viktor Smirnov	W
Anatoliy Didenko	W
Alexey Stepanov	W
Svyatoslav Scherbakov	W
Anatoliy Didenko	W
Alexey Artemenko	W
Denis Bogdanov	W
Alexander Umrikhin	W
