Mateusz Gamrot	L
Marcin Wrzosek	W
Artur Sowinski	W
Borys Mankowski	W
Myles Price	W
Lukasz Chlewicki	W
Mateusz Gamrot	D
Mateusz Gamrot	L
Paul Redmond	W
Andrew Fisher	W
Rustam Khabilov	L
Reza Madadi	W
Francisco Trinaldo	L
Gleison Tibau	L
Naoyuki Kotani	W
Leonardo Santos	D
Jon Tuck	W
Kazuki Tokudome	W
Colin Fletcher	W
Stephen Coll	W
Marcos Nardini	W
Dominic McConnell	W
Stuart Davies	W
Tom Maguire	W
Ian Jones	W
Joe Duffy	L
Myles Price	W
Ben Davis	W
Ali Maclean	W
Michael Bowman	W
Mark Mills	W
Paul Jenkins	W
Dominic McConnell	W
Barry Oglesby	W
Ali Maclean	W
Brian Kerr	W
Greg Loughran	L
