Bozigit Ataev	D	Decision - Unanimous (Draw)	2
Rashid Yusupov	W	Decision - Split	3
Rakim Cleveland	W	Decision - Unanimous	3
Klidson Abreu	L	Submission (Rear Naked Choke)	2
Ronny Markes	W	Submission (Guillotine)	1
Attila Vegh	W	Decision - Unanimous	3
Rashid Yusupov	L	Decision - Split	5
Stephan Puetz	W	Decision - Majority	5
Maro Perak	W	Decision - Unanimous	3
Florian Martin	W	Submission (Rear Naked Choke)	1
Beksot Jiyanov	W	TKO	1
Stephan Puetz	L	Decision - Split	5
Vasily Babich	W	Submission (Armbar)	2
Maciej Browarski	W	Decision - Unanimous	3
Reinaldo da Silva	W	Submission (Leglock)	2
Gadzhimurad Antigulov	W	Submission (Guillotine)	2
Baga Agaev	W	Submission (Guillotine)	1
Khadzhimurat Kamilov	W	Submission (Armbar)	2
Abdul-Kerim Edilov	W	Decision - Unanimous	3
Chuck Grigsby	W	KO/TKO	2
Vinny Magalhaes	L	Submission (Neck Crank)	3
Vitaly Smirnov	W	Decision - Unanimous	2
Daniel Vizcaya	W	Submission (Triangle Choke)	1
Rashid Magomadov	W	KO/TKO	2
Shamil Vajsurov	W	Decision - Unanimous	2
Khanilav Khanilaev	L	Decision - Split	3
Ramazan Rezvanov	W	Submission (Triangle Choke)	1
Rasul Magomedaliev	W	Submission (Triangle Choke)	1
Tony Lopez	L	Submission (Rear Naked Choke)	2
Ilya Malyukov	W	Decision - Unanimous	2
Ishkhan Zakharian	W	KO/TKO	2
Magomed Umarov	W	Decision - Unanimous	3
Sergey Khramov	W	Decision	-
Christian Bombay	W	Submission (Triangle Choke)	1
Magomed Sultanakhmedov	L	KO/TKO	1
