Robert Whiteford	L
Andy Main	L
Takumi Nakayama	W
Mike Richman	L
Yuki Baba	W
Kenichi Ito	W
Vaughan Lee	L
Takeya Mizugaki	L
Dennis Siver	L
Cole Miller	W
Jimy Hettes	L
Leonard Garcia	W
Mike Brown	L
Leonard Garcia	L
Michael Johnson	L
Rodney Rhoden	W
Isaac DeJesus	L
Michihiro Omigawa	L
Hideki Kadowaki	W
Billy Evangelista	L
Saad Awad	W
Shad Smith	W
Gesias Cavalcante	L
Josh Thomson	L
Aric Nelson	W
Ryan Diaz	W
Albert Hill	W
Joe Frainee	W
Sost Infante	W
Joey Alvarado	W
Mike Valdez	W
Nick Ertl	L
Eben Kaneshiro	W
Rob McCullough	L
Patrick Hoang	W
Brad Levy	W
Brad McCall	W
Jason Maxwell	W
