Cezar Ferreira	L
Vitor Belfort	L
Sam Alvey	L
Tamdan McCrory	W
Thiago Santos	L
CB Dollaway	W
Kelvin Gastelum	L
Brad Tavares	L
James Te Huna	W
Hector Lombard	L
Jake Ellenberger	L
Tarec Saffiedine	L
Tyron Woodley	W
Dan Miller	W
Yushin Okami	L
Rousimar Palhares	W
Chael Sonnen	L
Demian Maia	W
Wilson Gouveia	W
Martin Kampmann	W
Thales Leites	L
Jeremy Horn	W
Anderson Silva	L
Dean Lister	W
Crafton Wallace	W
Joe Doerksen	W
Ivan Salaverry	W
Izuru Takeuchi	W
Kazuo Misaki	W
Eiji Ishikawa	D
Ricardo Almeida	L
Yuji Hisamatsu	W
Steve Gomm	W
Keiichiro Yamamiya	L
Izuru Takeuchi	W
Kiuma Kunioku	W
Izuru Takeuchi	L
Seiko Ryo	W
Kazuo Misaki	W
Kiuma Kunioku	L
Yuji Hoshino	W
Gil Castillo	L
Masaya Kojima	W
Hikaru Sato	W
Kiuma Kunioku	D
Shonie Carter	W
Kiuma Kunioku	W
Daiju Takase	W
Anthony Washington	W
Genki Sudo	L
David Harris	W
Josh Groves	W
Yves Edwards	W
Jose Garcia	W
Josh Medina	W
Mike Lee	W
