Max Holloway	L	TKO - Doctor's Stoppage	4
Frankie Edgar	W	KO/TKO	1
Cub Swanson	W	Submission	2
Renato Moicano	W	Submission	3
Clay Guida	W	KO/TKO	3
Diego Brandao	W	Submission	3
Thiago Tavares	W	KO/TKO	3
Mike de la Torre	D	No Contest	1
Keoni Koch	W	Decision - Split	5
Jordan Rinaldi	W	Submission (Triangle Choke)	3
Thomas Guimond	W	Submission (Triangle Choke)	1
Carlos Garces	W	Unanimous Decision	5
Chris Mercado	W	Unanimous Decision	3
Vincent Martinez	W	Submission (Rear Naked Choke)	1
Brady Harrison	W	Unanimous Decision	3
John Sassone	W	Submission	1
