Ante Delija	L
Kamil Bazelak	W
Tarek Suleiman	L
Roman Wehbe	W
Chaolong Deng	W
Cheick Kongo	L
Matt Mitrione	L
Fernando Rodrigues Jr.	W
Michal Wlodarek	W
Chris Barnett	W
Kamil Bazelak	W
Ikuhisa Minowa	W
Brett McDermott	L
Mariusz Pudzianowski	L
Gzim Selmani	L
Kamil Walus	W
Kevin Asplund	W
Karol Bedorf	L
Ivan Pioneer	W
Phil de Fries	L
Shawn Jordan	L
Mark Potter	W
Ben Smith	W
Nikki Kent	W
Tomasz Czerwinski	W
Ian Hawkings	W
Joe Vedepo	L
Steve Day	W
Rob Broughton	L
Tomasz Kamienczyk	W
Ashley Pollard	W
Ashley Pollard	W
