Joe Riggs	D	Decision - Split (Draw)	3
Felipe Salvador Nsue Ayiugono	W	Decision - Unanimous	3
Toni Valtonen	W	Decision - Unanimous	3
Carlos Eduardo	L	Decision - Unanimous	3
Vitali Onishchenko	W	Decision - Unanimous	3
Yuriy Pomazan	W	KO/TKO	2
Roman Cheldiev	W	Submission (Heel Hook)	2
Maciej Browarski	W	Decision - Unanimous	3
Yuri Marienko	W	Submission (Guillotine)	2
Alexey Shopin	W	Submission (Armbar)	1
Evgeniy Vyatokha	W	Submission (Kimura)	1
Stanislav Khmilkovskiy	W	Submission (Keylock)	1
Aleksander Kravchenko	W	Submission (Armbar)	1
Evgeni Guryanov	W	Decision - Split	2
Ramis Teregulov	L	Decision - Unanimous	3
Dovletdzhan Yagshimuradov	L	TKO (Corner Stoppage)	1
Akhil Rabadanov	W	Decision - Unanimous	3
Alexander Dolotenko	L	Decision - Unanimous	3
Yuri Chizhevsky	L	Decision - Unanimous	3
Igor Kashchuk	W	Submission (Armbar)	1
Alexander Filimoshkin	W	Submission (Armbar)	1
Bogdan Savchenko	L	Submission (Armbar)	1
