Adam Borics	L
A.J. McKee	L
John Teixeira	W
Georgi Karakhanyan	W
Emmanuel Sanchez	W
Daniel Weichel	L
Patricio Freire	L
Daniel Straus	W
Daniel Straus	L
Shahbulat Shamhalaev	W
Patricio Freire	W
Joe Warren	W
Marlon Sandro	W
Ronnie Mann	W
Luis Palomino	W
Eddie Alvarez	L
Toby Imada	W
Roger Huerta	W
Mike Ricci	W
Robbie Olivier	W
Travis Perzynski	L
Jay Ellis	W
Lucas Gwaltney	W
Charles Diaz	L
Mike Pickett	W
Daniel Straus	W
Ramiro Hernandez	W
Darren Elkins	L
Jay Ellis	W
Amir Khillah	W
Lazar Stojadinovic	W
Tony Hervey	W
