Thiago Alves	L
Donald Cerrone	L
Ben Saunders	W
Joshua Burkman	W
Joe Riggs	W
Stephen Thompson	L
Kyle Noke	W
Bobby Voelker	W
Alessio Sakara	W
Cung Le	L
Gustavo Machado	W
Crafton Wallace	W
Todd Brown	W
Kalib Starnes	W
Tom Lawlor	L
Alan Belcher	L
Anderson Silva	L
Ricardo Almeida	W
Drew McFedries	W
Kendall Grove	W
Jason Day	W
Scott Smith	W
Travis Lutter	L
Jason MacDonald	W
Bill Mahood	W
Chris Leben	L
Joe Doerksen	L
Ricardeau Francois	W
Tito Ortiz	L
Bill Mahood	W
Steve Vigneault	W
Yan Pellerin	W
Glenn Murdoch	W
Pascal Gosselin	W
