Mattia Schiavolin	W
Petr Ondrus	W
Alexander Dolotenko	W
Karlos Vemola	L
Vitor Nobrega	W
Mohamed Sayah	W
Igor Fernandes	W
Arbi Agujev	D
Sergey Khandozhko	W
Renat Lyatifov	W
Robert Pukac	W
Albert Duraev	L
Laszlo Soltesz	W
Valid Abdurachmanov	W
Peter Stacho	W
Wanderson Silva	W
Markus Di Gallo	W
Magnus Cedenblad	L
Andre Reinders	L
August Wallen	L
Alexander Shlemenko	L
Maksim Nevolia	W
Vasily Krilov	W
Tom Haddock	W
Boquihu Boquihu	W
David Kedzuch	W
Teemu Inkeroinen	L
Peter Kirkegaard	W
Nikolai Koubti	L
Tomas Kuzela	L
Dawid Warchol	W
Tomas Majlar	W
