Handesson Ferreira	L
Joao Zeferino	L
Alexander Shlemenko	L
Yushin Okami	L
Chris Honeycutt	W
Chris Honeycutt	D
Josh Neer	W
Nathan Coy	L
Karl Amoussou	W
Valdir Araujo	L
Keith Smetana	W
Ryan Braun	W
Mike Pierce	L
Rafael Natal	L
Eddie Larrea	W
Kenneth Allen	W
Anton Tomash	W
Ted Worthington	W
Johnny Rees	W
Sam Alvey	D
Luke Rockhold	L
Levi Avera	W
Leonardo Pecanha	W
Mike Pierce	L
Nathan Coy	W
Dante Rivera	W
Patrick Horner	W
De'Marco Harris	W
DJ Watkins	W
Mike Van Meer	W
Ryan Braun	W
Troy King	W
Joe Neace	W
Adam Stoup	W
James Powell	W
