Denis Goltsov	L
Eric Prindle	W
Rameau Thierry Sokoudjou	W
Myron Dennis	L
James McSweeney	W
Igor Kostin	W
Mike Cook	W
Igor Kostin	W
Darrill Schoonover	L
Cole Konrad	L
Kerry Schall	W
Tim Sylvia	L
Bryan Humes	W
Cheick Kongo	L
Stefan Struve	L
Kirill Sidelnikov	W
Gary Goodridge	W
Alistair Overeem	L
Carter Williams	W
Ruben Villareal	W
David Abbott	W
Gilbert Aldana	W
Andrei Arlovski	L
Kevin Jordan	W
Justin Eilers	W
Bo Cantrell	W
Lloyd Marshbanks	W
Bobby Hoffman	W
Andy Montana	W
Bobby Hoffman	L
Mike Kyle	W
Roger Neff	W
Jimmy Westfall	W
Gary Marshall	W
Nate Schroeder	L
Sam Sotello	L
Ricco Rodriguez	L
Larry Parker	W
Gan McGee	L
Rocky Batastini	W
Jason Godsey	W
Jimmy Westfall	W
Denny Mathias	W
Gilbert Duran	W
Todd Broadaway	L
Larry Parker	W
Shane Saavedra	W
Dustin Heronemus	W
Dan Severn	L
Evan Tanner	L
David Davis	W
Derek McGill	W
