Saad Awad	W
Erick Silva	W
Michael Page	L
Jon Fitch	L
Lorenz Larkin	W
Rory MacDonald	L
Brennan Ward	W
Douglas Lima	L
Andy Uhrich	W
Dennis Olson	W
Andre Santos	W
Marinho Moreira da Rocha	W
Romario Manoel da Silva	W
Alexander Yakovlev	L
Lukasz Chlewicki	W
Rodrigo Ribeiro	W
Patrick Vallee	W
Rudy Bears	W
Kazuo Misaki	L
Luigi Fioravanti	W
Jordan Radev	W
Tyron Woodley	L
Nick Diaz	L
Yuya Shirai	W
Scott Smith	W
Jorge Masvidal	W
Daniel Acacio	W
Josh Koscheck	L
Dustin Hazelett	W
Martin Kampmann	W
Junior Barata	W
Aurelijus Kerpe	W
Nick Thompson	L
John Alessio	W
Jake Shields	L
Bojan Kosednar	W
Sammy Morgan	W
Mark Weir	W
Duane Ludwig	W
Paul Jenkins	W
Daniel Weichel	W
Luiz Azeredo	L
Sol Gilbert	W
Satoru Kitaoka	L
Ross Mason	W
Dave Strasser	W
Blake Fredrickson	W
Jean Silva	L
Joey van Wanrooij	W
Peter Angerer	W
Pat Healy	L
Sami Berik	W
Paul Jenkins	D
Abdul Mohamed	D
Jess Liaudin	W
Paul Jenkins	W
Xavier Foupa-Pokam	W
Lee Doski	W
James Nicholl	L
Florentim Amorim	L
John Connelly	W
