Magomed Magomedkerimov	L
Ray Cooper III	L
Abubakar Nurmagomedov	W
Hayder Hassan	L
Christophe Van Dijck	W
Luiz Jorge Dutra Jr.	W
Valentin Trostyanchuk	W
Alik Tseiko	W
Evgeniy Diagilev	W
Aleksey Plokhikh	W
Shota Gvasalia	W
Aleks Irymek	W
Chris Scott	W
Rafael Silva	L
Chris Fields	L
John Phillips	W
Alexander Starikov	W
Beslan Isaev	L
Serob Melikyan	D
Alexei Belyaev	W
Marcos Antonio Santana	W
Vladimir Vuckovic	W
Albert Shardanov	W
Magomed Sultanakhmedov	L
Vasily Novikov	W
Ho Jin Kim	W
Viktor Kuzmenko	W
Denis Fedorov	W
Alexander Dolotenko	W
Sergei Dzygansky	W
