Julio Cesar Neves Jr.	L
Bubba Jenkins	L
Josh Smith	W
Chris Culley	W
Brandon Girtz	L
Christos Giagos	W
John Bond	W
Aaron King	W
Fernando Bernstein	W
Mike Ryan	W
Alec Borilla	W
Jason Drake	W
Raymond Doxie	W
Tony Llamas	L
David Mitchell	L
Darren Crisp Jr.	W
Daniel Romero	L
Sergio Salcido	W
Tony Llamas	W
Sergio Cortez	W
Sergio Cortez	L
Jarod Saenz	W
Diego Saraiva	L
Billy Terry	W
Aaron Maldonado	W
Brandon Jinnies	W
Billy Terry	W
Shad Smith	L
Josh Gardner	W
Robert Breslin	W
Gigo Jara	W
Troy Miller	W
Cory Cass	L
Robert Breslin	D
Cole Escovedo	L
Joe Martin	W
Gabriel Cruz Tenorio	W
Eric Ramirez	W
A.J. Wieman	W
Johnny Fadella	W
Erick Husbands	W
