Juan Archuleta	W
Michael Chandler	W
Emmanuel Sanchez	W
Daniel Weichel	W
Daniel Straus	W
Benson Henderson	L
Henry Corrales	W
Daniel Straus	L
Daniel Weichel	W
Daniel Straus	W
Pat Curran	W
Justin Wilcox	W
Fabricio Guerreiro	W
Diego Nunes	W
Jared Downing	W
Pat Curran	L
Daniel Straus	W
Wilson Reis	W
Georgi Karakhanyan	W
Joe Warren	L
Wilson Reis	W
Will Romero	W
Johnny Iwasaki	W
Vinicius Zani	W
Giovani Diniz	W
Gleristone Santos	W
Fernando Vieira	W
Paulo Dantas	W
Jadyson Costa	W
Rafael Gargula	W
Joao Paulo	W
Tarcisio Jardim	W
Marlon Silva	W
Dida Dida	W
