Karo Parisyan	L
Yoshiyuki Yoshida	L
Nobutatsu Suzuki	L
Hayato Sakurai	L
Rodrigo Ribeiro	W
Chris Holland	L
Nick Nolte	W
Brad Tavares	L
Amir Sadollah	L
Joe Riggs	L
Olaf Alfonso	W
Ron Verdadero	W
Scott Jansen	W
Joey Villasenor	L
Kala Hose	L
Frank Shamrock	L
Yosuke Nishijima	W
Kazuo Misaki	L
Yuki Kondo	W
Ikuhisa Minowa	L
Ryo Chonan	W
Ikuhisa Minowa	W
Chris Cruit	W
Pete Sell	L
Evan Tanner	L
Evan Tanner	L
Matt Lindland	L
Dave Menne	W
Amar Suloev	W
Matt Lindland	L
Robert Sarkozi	W
Curtis Stout	W
John Hayes	W
