Neil Seery	L
Louis Gaudinot	D
John Lineker	L
Ulysses Gomez	W
Darren Uyenoyama	L
Casey Dyer	W
Remi Morvan	W
Neil Seery	W
Steve McCombe	W
Mourad Benshegir	W
Ashleigh Grimshaw	L
Michael Leonard	L
Michal Hamrsmid	D
Scott Jansen	W
Nayeb Hezam	W
Darren Russell	W
Micky Young	L
David Smyth	L
Kamon Rana	W
Valdo Menzes	W
Phil Labar	W
Paul McVeigh	L
Valdo Menzes	W
Jose Aldo	L
Christian Schoter	W
Ricky Moore	W
Alex Pullin	W
Chris Freeborn	W
Chris Westwood	W
Luiz Tosta	L
Alex Owen	L
Dave Campbell	W
Mark Chen	L
Frank Rivas	W
Steven Milward	W
Eric Dumas	W
