Fedor Emelianenko	L
Wanderlei Silva	W
Chael Sonnen	L
Muhammed Lawal	L
Satoshi Ishii	W
Fabio Maldonado	W
Muhammed Lawal	W
Christian M'Pumbu	W
Joey Beltran	W
Glover Teixeira	L
Ryan Bader	L
Jon Jones	L
Matt Hamill	W
Lyoto Machida	W
Rashad Evans	L
Keith Jardine	W
Wanderlei Silva	W
Forrest Griffin	L
Dan Henderson	W
Chuck Liddell	W
Marvin Eastman	W
Matt Lindland	W
Dong Sik Yoon	W
Hirotaka Yokoi	W
Mauricio Rua	L
Murilo Rua	W
Wanderlei Silva	L
Ricardo Arona	W
Ikuhisa Minowa	W
Wanderlei Silva	L
Chuck Liddell	W
Murilo Bustamante	W
Mikhail Iloukhine	W
Kevin Randleman	W
Igor Vovchanchyn	W
Sean Gray	W
Masaaki Satake	W
Daijiro Matsui	L
Yuki Ishikawa	W
Alexander Otsuka	W
Kazushi Sakuraba	L
Kenneth Williams	W
Bryson Haubrick	W
Rocko Henderson	W
Dave Taylor	W
Charlie West	W
Rob Smith	W
Warren Owsley	W
Ron Rumpf	W
Marvin Eastman	L
Marco Bermudaz	W
Mike Pyle	W
