Carla Esparza	L	Decision - Split	3
Cynthia Calvillo	D	Decision - Majority (Draw)	3
Tecia Torres	W	Decision - Unanimous	3
Jessica Aguilar	W	Decision - Unanimous	3
Randa Markos	D	Decision - Majority (Draw)	3
Maria de Oliveira Neta	W	KO/TKO	1
Natalia Cristina da Silva	W	Decision - Unanimous	3
Amanda Torres Sardinha	W	Decision - Unanimous	3
Samara Santos Cunha	W	Decision - Unanimous	3
Paula Vieira da Silva	W	TKO	1
Vanessa Guimaraes	W	Submission (Triangle Choke)	2
Marcia Oliveira	W	TKO	1
Caroline Silva	W	TKO	2
Caroline Silva	W	Decision - Unanimous	3
Silvania Monteiro	W	TKO	1
