Vinny Magalhaes	L
Viktor Nemkov	L
Vinny Magalhaes	L
Maxim Grishin	L
Rashid Yusupov	W
Houston Alexander	W
Vitaly Shemetov	D
Houston Alexander	W
Tanner Boser	L
Calley Kruger	W
BJ Lacy	W
Mike Rhodes	L
Brian Houston	W
Jaquis Williams	W
Ashdon Lightner	W
Mark Scudder	W
John Poppie	L
Robert Morrow	D
Steve Montgomery	L
Louis DeWerdt	W
Bubba Bush	L
Wayman Carter	W
Armando Herrera	W
Blake Breitsprecher	W
Andrew Potter	W
Brian Long	W
Ryan Sutton	W
John McElroy	W
Nate Rodriguez	L
Aaron Davis	L
Derrick Lewis	L
Dale Mitchell	W
Richard White	W
Derrick Lewis	L
