Jamie Abdallah	W
Sergei Kharitonov	L
Lukasz Jurkowski	L
Marcelo Tenorio	W
Thiago Silva	L
Tomasz Narkun	L
Matt Hamill	W
Paul Buentello	L
Linton Vassell	L
Malik Merad	W
Terry Davinney	W
Konstantin Erokhin	L
Evgeny Erokhin	L
Seung Bae Whi	W
Denis Komkin	W
Jan Blachowicz	L
Ryan Jimmo	L
Roy Boughton	W
Jan Blachowicz	W
Valdas Pocevicius	W
Shamil Abdurakhimov	L
Houston Alexander	L
Joaquim Ferreira	W
Dave Herman	W
Ikuhisa Minowa	L
Gegard Mousasi	L
Bob Sapp	W
Jan Nortje	W
Renato Sobral	L
Luiz Cane	L
Kazuhiro Nakamura	W
Lyoto Machida	L
Ricardo Arona	W
Rogerio Nogueira	W
Glover Teixeira	L
Paul Weremecki	W
Gary Padilla	W
