Zhalgas Zhumagulov	W
Mark De La Rosa	W
Rogerio Bontorin	L
Kai Kara-France	L
Allan Nascimento	W
Iliarde Santos	W
Lisrael Pereira Figueiredo	W
Renan Carlos dos Santos Silva	W
Jefte Costa Brilhante	W
Adriano da Silva Santana	W
Chrysangelo Moraes	W
Jose Silva da Silva Jr.	W
Rogerio Ferreira Furtado	W
Klebson Freitas Araujo	W
Jonas dos Santos	W
Juvencio Barbosa Coelho	W
Luan Lacerda	L
Lucas Danilo Sa Bessa	W
Junior de Souza Valente	W
Aluizio Bruno Silva dos Santos	W
Edflavio da Silva Freitas	W
Werllen Furtado dos Santos	W
Moises Santos	W
