Alex Nicholson	L
Ivan Shtyrkov	L
Denis Stojnic	L
Dion Staring	L
Nestoras Batzelas	W
Denis Stojnic	D
Zelg Galesic	W
Ian Freeman	L
Marcin Lazarz	L
Tomaz Simonic	W
Andreas Kraniotakes	W
Ante Delija	L
Kevin Thompson	W
Stav Economou	L
Ruslan Magomedov	L
Alexander Volkov	L
Blagoy Ivanov	L
Bashir Yamilkhanov	W
Glover Teixeira	L
Michal Kita	L
Seth Petruzelli	L
Doug Williams	W
James McSweeney	W
Daniel Tabera	W
John Juarez	W
Bobby Martinez	W
Ken Sparks	W
Travis Fulton	W
Brian Ryan	W
Patrick Miller	W
Moise Rimbon	W
Justin Howard	W
John Brown	W
Mario Rinaldi	L
Doug Williams	W
Jeff Monson	L
Robert Beraun	W
Rob Broughton	W
Titus Campbell	W
Johnathan Ivey	W
Chris Guillen	W
George Bush	W
Travis Wiuff	L
Antonio Silva	L
Kelvin Fitial	W
Ben Rothwell	L
Lloyd Marshbanks	W
Imani Lee	W
Abdias Irisson	W
Ron Waterman	W
Taylor Brooks	W
Robert Beraun	L
Tyler Brooks	W
David Mori	W
Corey Salter	W
Jimmy Ambriz	W
Ron Waterman	L
Andy Montana	W
Ruben Villareal	W
Scott Junk	W
Mike Seal	W
Pedro Rizzo	L
Antonio Rodrigo Nogueira	L
Tim Sylvia	L
Randy Couture	W
Tsuyoshi Kosaka	W
Jeff Monson	W
Pete Williams	W
Andrei Arlovski	W
Paul Buentello	W
John Marsh	W
Takayuki Okada	W
Gary Goodridge	W
Travis Fulton	W
Sam Adkins	W
Bobby Hoffman	L
Steve Shaw	W
Rocky Batastini	W
Scott Adams	W
