Aslambek Saidov	L
Ryan LaFlare	L
Kenny Robertson	W
Derek Brunson	L
Mark Munoz	W
Trey Houston	W
Brock Larson	W
Randall Wallace	W
Sean Huffman	W
Jung Hwan Cha	W
Tommy Depret	L
Luis Ramos	W
Jorge Patino	W
Ryo Chonan	L
Kevin Burns	L
Tony DeSouza	W
Jon Fitch	L
Rich Clementi	W
Fabio Nascimento	L
Yoshitomo Watanabe	W
Daisuke Ishii	W
Leonardo Nascimento Lucio	L
Matt Horwich	W
Gregory Bouchelaghem	W
Claudio Mattos	W
Ryo Chonan	L
Paul Jenkins	W
Rodrigo Ruas	W
Adriano Verdelli	W
Sebastian Borean	W
Carlos Esponja	W
Anderson Silva	L
Marcelo Belmiro	L
