Raufeon Stots	L
Ryan Roberts	W
Shawn West	W
Rafael Silva	L
Joe Taimanglo	W
Jared Downing	W
Musa Toliver	W
Jason Williams	W
Trenell Young	W
Justin Salas	L
Eric Reynolds	W
Rodney Rhoden	W
Nik Lentz	L
Phillipe Nover	W
Rafael Dos Anjos	L
Kurt Pellegrino	L
Manvel Gamburyan	W
Keita Nakamura	W
Gray Maynard	D
Kenji Arai	W
Takafumi Ito	W
Jamie Schmidt	W
Julian Samaniego	W
Melvin Guillard	L
Randy Velarde	L
Joe Camacho	W
Justin Berkley	W
Dokonjonosuke Mishima	L
Javier Vazquez	L
Jamal Perkins	L
Jens Pulver	L
