Grant Dawson	L
Zak Bucia	L
Luciano Dos Santos	W
Gleristone Santos	L
Blaine Thomas	W
Jeremy Castro	W
Charon Spain	W
Luis Palomino	L
Zach Freeman	L
Lucas Gwaltney	W
Scott Thometz	W
Bailey Trent-Kettlecamp	W
Rich Clementi	L
Sean Huffman	W
Trenell Young	L
Joshua Thorpe	W
Dave Cochran	W
Curtis Demarce	L
Hermes Franca	L
Tyrone Glover	L
Tony Parker	W
Ronnie Borja	L
Josh Payne	W
Sang II Ahn	W
Arnold Balbin	W
Mattias Rosenlind	W
Kazuto Senga	W
Justin Cruz	W
Derrick King	W
Daniel Fejerang	W
Dario Jimenez	D
