Juan Espino	L
Ivan Shtyrkov	L
Shamil Gamzatov	L
Saparbeg Safarov	L
Dan Spohn	W
Adrian Miles	W
Kalib Starnes	W
Misha Cirkunov	L
Clay Davidson	W
Kelly Anundson	L
Ariel Gandulla	W
Carlos Eduardo	W
Maxim Grishin	L
Luiz Cane	L
Paulo Filho	D
Matheus Scheffel	W
Aaron Johnson	W
Salomao Ribeiro	W
Joaquim Ferreira	W
Guilherme Viana	W
Michal Materla	L
Cristiano Lazzarini	W
Aaron Johnson	W
Mamed Khalidov	L
Derrick Mehmen	W
Cale Yarbrough	W
Emanuel Newton	L
David Heath	W
Phil Davis	L
Jared Hamman	L
Brian Stann	L
Antwain Britt	W
Aaron Stark	W
Gregory Milliard	W
Marcus Vanttinen	W
Mike Brown	W
Carlos Zevallos	W
Ovince Saint Preux	W
Toni Valtonen	W
Wesley Cantillo	W
