Mauricio Rua	L
Ryan Spann	L
Sam Alvey	W
Ryan Bader	L
Patrick Cummins	W
Mauricio Rua	L
Anthony Johnson	L
Rashad Evans	W
Tito Ortiz	W
Phil Davis	L
Ryan Bader	L
Jason Brilz	W
Luiz Cane	W
Dion Staring	W
Vladimir Matyushenko	W
Moise Rimbon	W
Edwin Dewees	W
Todd Gouwenberg	W
Rameau Thierry Sokoudjou	L
Alistair Overeem	W
Mauricio Rua	L
Dan Henderson	W
Alistair Overeem	W
Kazuhiro Nakamura	W
Alex Stiebling	W
Kazushi Sakuraba	W
Kazuhiro Nakamura	W
Guy Mezger	W
Tsuyoshi Kosaka	W
Vladimir Matyushenko	L
Yusuke Imamura	W
Jim Theobald	W
Katsuhisa Fujii	W
