Daniel Crawford	L
Damien Lapilus	L
Graham Turner	W
Shaj Haque	L
Moktar Benkaci	W
Marcelo Costa	L
Marat Pekov	W
Jose Luis Zapater	W
Rodrigo Lima	L
Mike Corey	L
Kenny Foster	W
Pat Curran	L
Adam Schindler	W
Josh Arocho	W
Douglas Evans	W
Shigeki Osawa	W
Hatsu Hioki	L
Tetsuya Yamada	W
Steve McCombe	W
Ivica Dzebic	W
Frederic Fernandez	W
Jordan Miller	W
Robbie Olivier	L
Ashleigh Grimshaw	W
Chris Freeborn	W
Denas Banevicius	W
Ashleigh Grimshaw	D
Harold Roder	W
Kyle Davis	W
Allan Lee	L
Marco Dritty	W
Gary Howe	W
Aaron Blackwell	W
Abdul Bahaj	W
Nayeb Hezam	W
Andy Dicks	W
