Maxim Grishin	D	Decision - Majority (Draw)	2
Sean O'Connell	L	KO	1
Jamie Abdallah	W	KO/TKO	2
Brandon Halsey	L	TKO	3
Ronny Markes	L	Decision - Unanimous	3
Jake Heun	W	TKO	2
Blagoy Ivanov	L	Submission (Guillotine)	3
Derrick Mehmen	W	KO/TKO	1
Tim Hague	W	KO/TKO	1
Steve Mocco	W	Decision - Unanimous	3
Anthony Hamilton	L	KO	1
Mike Hackert	W	KO	1
Ryan Fortin	W	Submission (Rear Naked Choke)	1
Jordan Tracey	W	Submission (Kimura)	1
Lee Mein	W	TKO	1
Craig Hudson	W	Submission (Rear Naked Choke)	1
Demetrius Seguin	W	TKO	1
