Alexander Sarnavskiy	D		-
Andre Winner	W	Decision - Unanimous	3
Marat Balaev	W	Submission (Rear Naked Choke)	1
Alexander Peduson	W	Submission (Rear Naked Choke)	2
Luis Palomino	W	Decision - Unanimous	3
Valdines Silva	W	Submission (Arm Triangle)	1
Marat Balaev	L	Decision - Unanimous	5
Carlos Alexandre da Costa	W	Submission (Rear Naked Choke)	3
Sebastian Romanowski	W	Decision - Unanimous	3
Giorgos Paschalidis	W	Submission	1
Sergei Semizhon	W	Submission (Rear Naked Choke)	2
Vladimir Egoyan	W	Decision - Unanimous	3
Mikhail Kuznetsov	W	Submission (Rear Naked Choke)	1
Beslan Zhamurzov	W	KO (Spinning Back Fist)	1
Zhalgasuly Zhumageldy	W	Submission (Triangle Choke)	2
Vyacheslav Gagiev	W	Decision - Split	3
