Douglas Silva de Andrade	L
Luke Sanders	L
Andre Ewell	L
Brian Kelleher	L
Aljamain Sterling	L
Phillipe Nover	W
Jeremy Stephens	L
TJ Dillashaw	L
Mitch Gagnon	W
TJ Dillashaw	L
Urijah Faber	W
Eddie Wineland	W
Michael McDonald	W
Urijah Faber	W
Scott Jorgensen	W
Brad Pickett	W
Cole Escovedo	W
Chris Cariaso	W
Anthony Leone	W
Sergio Silva Rodrigues	W
Jorge Enciso	W
Marcio Nunes	W
Paulo Dantas	W
Jurandir Sardinha	W
Andre Luiz	W
Alexandre Pinheiro	W
Rogerio Silva de Souza	W
William Porfirio	W
Fabiano Lucas	W
Jetron Amaral	W
Ronaldo Figueiredo	W
William Vianna	W
Claudemir Souza	D
Danilo Noronha	W
Erinaldo Rodriguez	W
Carlos Heide	W
Janailson Kevin Pereira Lima	W
Rony Jason	W
Caio Robson	W
Gleison Menezes	W
Dande Dande	W
Anistavo Gasparzinho	W
Melk Freitas	W
Joao Paulo	L
