Hoon Kim	L
Jung Hwan Cha	L
Uh Jin Jeon	W
Dool Hee Lee	W
Dool Hee Lee	D
Dong Sik Yoon	W
Hyae Suk Son	D
Hee Seung Kim	W
Brad Tavares	L
Tom DeBlass	W
Constantinos Philippou	L
Steve Cantwell	W
Nick Ring	L
Ryuta Sakurai	W
Hiromitsu Kanehara	W
Yuichi Nakanishi	W
Murilo Rua	W
Ryuta Sakurai	W
Jason Jones	W
Hiroki Ozaki	W
Yuichi Nakanishi	L
Yuya Shirai	W
Ryuta Sakurai	W
Joey Villasenor	L
Hikaru Sato	W
Chris Gates	W
Yuji Sakuragi	W
Keitaro Maeda	W
Kozo Urita	L
Yuta Nakamura	W
Brandon Wolff	W
Oleg Bazayev	W
Masaya Inoue	W
Joe Doerksen	L
