Neil Magny	L
Colby Covington	L
Ben Askren	L
Rafael Dos Anjos	L
Donald Cerrone	W
Tyron Woodley	L
Carlos Condit	W
Rory MacDonald	W
Johny Hendricks	W
Matt Brown	W
Jake Ellenberger	W
Johny Hendricks	L
Rory MacDonald	W
Bobby Voelker	W
Josh Koscheck	W
Lorenz Larkin	L
Adlan Amagov	W
Tim Kennedy	L
Jacare Souza	L
Matt Lindland	W
Renato Sobral	L
Melvin Manhoef	W
Jake Shields	L
Scott Smith	W
Scott Smith	D
Murilo Rua	W
Frank Trigg	W
Eduardo Pamplona	W
Joey Villasenor	W
Jason Miller	L
Falaniko Vitale	W
Jeremy Brown	W
Falaniko Vitale	W
Evan Tanner	L
Nick Diaz	L
Chris Lytle	W
Pete Spratt	L
Tiki Ghosn	W
Steve Berger	W
Aaron Riley	W
Saburo Kawakatsu	W
Marco Macera	W
Landon Showalter	W
John Reed	W
