Sidney Outlaw	L
Patricky Freire	L
Benson Henderson	L
Hayder Hassan	W
Adrian Pang	W
Ariel Sexton	L
Koji Ando	L
Christian Holley	W
Zorobabel Moreira	L
War Machine	L
Eddie Alvarez	L
Pat Curran	L
Chad Hinton	W
Gray Maynard	L
Kenny Florian	L
Clay Guida	W
Alberto Crane	W
Douglas Evans	W
Leonard Garcia	W
John Halverson	W
Jason Dent	W
Joe Camacho	W
Dan Swift	W
Lee King	W
Matt Wiman	W
Brad Blackburn	W
Kenny Jerrell	W
Steve Kinnison	W
Melvin Guillard	D
Naoyuki Kotani	W
Naoyuki Kotani	W
Jake Short	W
Matt Brady	W
Ryan Schultz	L
Mike Aina	W
Harris Sarmiento	W
Joe Jordan	D
Jeff Carlson	W
Shane Lavafor	W
