Desmond Green	L
John Makdessi	L
Mizuto Hirota	W
Dan Hooker	L
Stevie Ray	L
Jorge Masvidal	L
Will Brooks	L
Chad Laprise	W
Francisco Trinaldo	L
Paul Felder	W
Evan Dunham	L
Sam Stout	W
Al Iaquinta	L
Gray Maynard	W
Diego Sanchez	L
Melvin Guillard	D
Ryan Couture	W
George Sotiropoulos	W
Cub Swanson	L
Junior Assuncao	W
Edson Barboza	L
Spencer Fisher	W
Cole Miller	L
Dennis Siver	W
Aaron Riley	W
Andre Winner	W
Jason Dent	W
Ian Jones	W
Abdul Mohamed	L
Cedric Celerier	W
Aidan Marron	W
Sami Berik	W
Mark Spencer	W
Steve Tetley	W
Gavin Bradley	W
Will Burke	W
Curt Warburton	L
Chris Hughes	L
