Andrea Lee	W
Lauren Murphy	L
Maycee Barber	W
Jennifer Maia	L
Antonina Shevchenko	W
Sijara Eubanks	L
Barb Honchak	W
Nicco Montano	L
Sijara Eubanks	L
Sarah D'Alelio	W
Priscilla de Souza	W
Jennifer Maia	L
DeAnna Bennett	W
Mariana Morais	W
Vanessa Porto	L
Andrea Lee	W
Tara LaRosa	W
Raquel Pennington	L
Takayo Hashi	L
Barb Honchak	L
Hitomi Akano	L
Rosi Sexton	L
Sarah Kaufman	L
Tara LaRosa	W
Molly Helsel	W
Marloes Coenen	L
Chisa Yonezawa	W
Vanessa Porto	W
Marloes Coenen	W
Hee Jin Lee	W
Megumi Yabushita	W
Cassandra Rivers-Blasso	W
Shayna Baszler	L
Megumi Yabushita	W
Tara LaRosa	L
Laura D'Auguste	L
Jennifer Howe	W
Ana Carolina	W
Megumi Yabushita	L
Jennifer Howe	W
Natsuko Kikukawa	W
Keiko Tamai	W
Hikaru Shinohara	W
