Valentin Moldavsky	L
Frank Mir	L
Mirko Filipovic	L
Sergei Kharitonov	L
Matt Mitrione	L
Javy Ayala	W
Alexander Volkov	L
Antonio Silva	W
Derrick Lewis	L
Jared Rosholt	W
Josh Barnett	L
Alistair Overeem	L
Mark Hunt	L
Antonio Rodrigo Nogueira	W
Daniel Cormier	L
Stipe Miocic	L
Cheick Kongo	W
Matt Mitrione	W
Dave Herman	W
Fabricio Werdum	L
Mirko Filipovic	W
Frank Mir	L
Junior Dos Santos	L
Stefan Struve	W
Brendan Schaub	W
Jeff Monson	L
Andrei Arlovski	L
Brad Imes	W
Fabiano Scherner	W
Antoine Jaoude	W
Bryan Vetell	W
Shane Ott	W
Ben Rothwell	L
Mario Rinaldi	W
Vince Lucero	W
Josh Curran	L
Jerome Smith	W
Jason Godsey	W
Michael Buchkovich	W
Ray Seraille	W
Jerry Vrbanovic	W
Bo Cantrell	W
