Vadim Nemkov	L
Cheick Kongo	D
Fedor Emelianenko	W
Matt Mitrione	W
Muhammed Lawal	W
Linton Vassell	W
Phil Davis	W
Rogerio Nogueira	W
Ilir Latifi	W
Anthony Johnson	L
Rashad Evans	W
Phil Davis	W
Ovince Saint Preux	W
Rafael Cavalcante	W
Anthony Perosh	W
Glover Teixeira	L
Vladimir Matyushenko	W
Lyoto Machida	L
Quinton Jackson	W
Jason Brilz	W
Tito Ortiz	L
Jon Jones	L
Rogerio Nogueira	W
Keith Jardine	W
Eric Schafer	W
Carmelo Marrero	W
Vinny Magalhaes	W
Buckley Acosta	W
Brad Peterson	W
Ulysses Cortez	W
Dicky Chavez	W
Tim Peacock	W
David Baggett	W
Dave Covello	W
