Yusuf Raisov	D		-
Herdeson Batista	W	KO/TKO	1
Shamil Nikaev	L	Decision - Split	3
Eduard Vartanyan	L	Submission (Rear Naked Choke)	2
Ramazan Esenbaev	W	TKO (Corner Stoppage)	3
Ustarmagomed Gadzhidaudov	L	KO	2
Jorge Patino	W	Decision - Unanimous	3
Dmitry Bikrev	W	Submission (Rear Naked Choke)	2
Murad Machaev	L	Decision - Unanimous	3
Leandro Rodrigues Pontes	W	KO	1
Jesse Ronson	W	Decision - Unanimous	3
Marcin Held	L	Submission (Kneebar)	3
Artak Nazaryan	W	KO	1
Dakota Cochrane	W	Submission (Rear Naked Choke)	1
Drew Brokenshire	W	Submission (Rear Naked Choke)	2
Yukinari Tamura	W	Submission (Rear Naked Choke)	3
Alexander Butenko	W	Decision - Unanimous	3
Will Brooks	L	Unanimous Decision	3
Ricardo Tirloni	W	Submission (Triangle Choke)	1
Marcus Davis	W	Submission (Rear Naked Choke)	1
Atchin Chaoshen Ne	W	Submission (Armbar)	1
Thiago Michel	W	Submission (Rear Naked Choke)	2
Tony Hervey	W	Unanimous Decision	3
Rich Clementi	L	Decision - Split	3
Maykel Becerra	W	KO (Knee)	1
Len Bentley	W	Submission (Triangle Choke)	1
Sergio Cortez	W	Submission (Rear Naked Choke)	1
Tomas Deak	W	Unanimous Decision	2
Marcio Cesar	W	Submission (Rear Naked Choke)	1
Douglas Evans	W	Submission (Triangle Choke)	1
Beau Baker	W	Submission (Rear Naked Choke)	2
Arsen Ubaidulaev	W	Submission (Rear Naked Choke)	1
Victor Kuku	W	TKO	1
Aleksey Ershik	W	Submission (Rear Naked Choke)	1
Karen Grigoryan	W	Split Decision	3
Maxim Kuptsov	W	Submission (Rear Naked Choke)	1
Mamour Fall	W	Submission (Triangle Choke)	2
Timur Daurenuly	W	KO	1
Maratbek Kalabekov	W	Split Decision	3
Vladimir Simonyan	W	KO	1
Kardash Fatakhov	W	TKO (Punches)	1
Islam Mamedov	W	KO	1
Andrei Koshkin	W	Submission (Triangle Choke)	1
Rishat Gilmitdinov	W	Submission (Triangle Choke)	1
