Sadibou Sy	D	Decision - Majority (Draw)	2
John Howard	W	Decision - Unanimous	3
Sadibou Sy	W	Decision - Unanimous	3
Rex Harris	W	Decision - Unanimous	3
Vagab Vagabov	W	Decision - Split	3
Elias Theodorou	L	Decision - Unanimous	3
Chris Camozzi	W	Decision - Split	3
Krzysztof Jotko	L	Decision - Unanimous	3
Giva Santana	W	Unanimous Decision	3
Paulo Henrique Garcia Rodrigues	W	Decision - Unanimous	3
Angel Orellana	W	Decision - Unanimous	3
Vitor Nobrega	W	Decision - Unanimous	3
Julio Cesar dos Santos	W	Decision - Unanimous	3
Daniel Acacio	W	Decision - Unanimous	5
Cristiano Lazzarini	W	Decision - Unanimous	3
Michele Verginelli	W	Decision - Unanimous	5
Danilo Pereira	W	Decision - Unanimous	5
Eder Jones	W	Decision - Unanimous	3
Neilson Gomes	W	KO/TKO	2
Edilberto de Oliveira	W	Decision - Unanimous	3
Cristiano Nuno	W	Submission	2
