Gilberto Dias	D		-
Rildeci Lima Dias	W	Submission (Guillotine)	1
Stenio Barbosa	W	Submission (Rear Naked Choke)	2
Rafael Santos	W	Submission (Rear Naked Choke)	1
Antenor Pereira	W	Decision - Unanimous	3
Renato Velame	W	Decision - Split	3
Willamy Vital Ferreira	W	Submission (Armbar)	1
Rodrigo Araujo de Oliveira	W	Decision - Unanimous	3
Ermesson Silveira Queiroz	W	Decision - Unanimous	3
Geraldo Paiva	W	KO/TKO	2
Odilon Gouveia de Souza Filho	W	KO/TKO	2
Ermesson Silveira Queiroz	W	Decision - Unanimous	3
Felipe Sem Maldade	W	KO/TKO	1
Edvan Souza	W	KO/TKO	2
Geraldo Paiva	W	KO/TKO	2
Janclayton Lima Guedes	L	Submission (Triangle Choke)	1
