Shunichi Shimizu	D	No Contest	1
Do Gyum Lee	W	Submission (Guillotine)	1
Ki Sung Kim	W	Decision - Unanimous	3
Andrew Benibe	W	Submission (Keylock)	1
Sotir Kichukov	W	Decision - Unanimous	3
Reece McLaren	L	Submission (Rear Naked Choke)	3
Casey Suire	W	Submission (Rear Naked Choke)	1
Kai Kara-France	W	Submission (Rear Naked Choke)	1
Jang Yong Kim	L	Submission (Leg Scissor Choke)	3
Harris Sarmiento	W	Submission (Scarf Hold Armlock)	1
Robert Wusstig	W	Submission (Scarf Hold Armlock)	1
Alcer Lozada	W	Submission (Rear Naked Choke)	1
Marko Huusansaari	W	Submission (Armbar)	2
Mohd Al Hafiz	W	Technical Submission (Triangle Choke)	1
Ev Ting	W	Submission (Rear Naked Choke)	1
Pan Wen Shi	W	Submission (Rear Naked Choke)	1
Yusuke Kawanago	W	Decision - Split	3
Giovanni Sablan	W	Submission (Rear Naked Choke)	1
Crisanto Pitpitunge	W	Submission (Rear Naked Choke)	1
Bae Yong Kwon	W	Decision - Unanimous	3
Andy Jewett	W	Submission (Rear Naked Choke)	2
