Paul Daley	L
Goiti Yamauchi	L
Brandon Girtz	L
Benson Henderson	L
Ryan Couture	W
JJ Ambrose	W
Zach Freeman	W
Ryan Quinn	W
Brennan Ward	L
Derek Anderson	L
Evangelista Santos	W
Patricky Freire	L
Rob Sinclair	W
Sergio Rios	W
Joe Duarte	W
Will Brooks	L
Martin Stapleton	W
David Rickels	L
Will Brooks	W
Guillaume DeLorenzi	W
Daniel McWilliams	W
Matt Shorey	W
Andy Morales	W
Joey Nier	W
Joe Duarte	L
Bryson Kamaka	W
Diego Garijo	L
Karen Darabedyan	L
Jorge Britto	W
Kyle Olsen	W
Nam Phan	L
Evan Matus	W
Eric Beitia	W
Ludwing Salazar	W
Wilberth Montoya	W
Art Ruiz	W
