Ryan Spann	L
Klidson Abreu	L
Jimmy Crute	L
Rogerio Nogueira	L
Gian Villante	W
Marcin Prachnio	W
Ramazan Emeev	L
Rashad Evans	W
Thales Leites	L
Nate Marquardt	W
Alex Nicholson	W
Kevin Casey	W
Eric Spicely	W
Elias Theodorou	L
Derek Brunson	L
Daniel Kelly	W
Cezar Ferreira	W
Dylan Andrews	W
Tom Watson	L
Gerald Meerschaert	W
Wes Swofford	W
Jason South	W
Jay Silva	W
Elvis Mutapcic	L
Lucas Lopes	W
Daniel Almeida	W
Brandon Ropati	L
Eddie Larrea	W
Augusto Montano	W
Vitor Vianna	L
Karl Amoussou	W
Jason Guida	W
Luke Taylor	W
William Hill	W
Gerald Meerschaert	L
Paul Bradley	D
Pat O'Malley	W
Brad Resop	W
Eric Hammerich	W
Demian Decorah	W
Mark Honneger	W
Ron Carter	W
Tre Mittnecht	W
Caleb Nelson	L
Jason Sink	W
Justin Lemke	W
Lukas Bowar	W
Shane Malchiodi	W
