Johnny Case	L
Roberto de Souza	L
Tatsuya Kawajiri	W
	W
Kiichi Kunimoto	L
Yusuke Yachi	L
Daron Cruickshank	W
Leonardo Mafra Texeira	W
Kota Shimoishi	W
Kazuki Tokudome	L
Yuki Okano	W
Akira Okada	W
Yoshiyuki Yoshida	W
Richie Whitson	W
Naoto Miyazaki	W
Ramazan Esenbaev	L
Dom O'Grady	W
Daisuke Nakamura	W
Will Brooks	L
Katsunori Kikuno	W
Shinya Aoki	L
Willamy Freire	W
Jutaro Nakao	W
Kuniyoshi Hironaka	W
Jorge Rodrigues Silva	W
Jorge Masvidal	L
Mizuto Hirota	L
Yukio Sakaguchi	W
Takanori Gomi	W
Eiji Mitsuoka	W
Kazunori Yokota	W
Clay French	W
Ian James Schaffa	W
Katsuya Inoue	L
Jason Palacios	W
Fabricio Monteiro	W
Gustavo Picone	W
Ju Pyo Hong	W
Paul Daley	W
Daizo Ishige	L
Tatsunori Tanaka	W
Katsuya Inoue	D
Carlos Condit	W
Thomas Schulte	W
Hidehiko Hasegawa	W
Katsuya Inoue	L
Heath Sims	D
Kurt Pellegrino	W
Takaichi Hirayama	W
Eiji Ishikawa	L
Tadahiro Hosaka	D
Naoki Seki	W
Yuji Hoshino	D
Takuya Wada	D
Hiroki Nagaoka	W
Taro Minato	W
Hiroyuki Nozawa	W
Kenji Arai	W
Hidetaka Monma	L
Kenji Arai	W
Koji Oishi	L
Yohei Ota	W
Hiroki Nagaoka	D
Takeaki Miyakawa	D
Kenichi Serizawa	D
Yuji Hoshino	L
Kosei Kubota	D
Kazuhito Kikuchi	W
Yoshinori Kawasaki	L
